uuid,title,description,distance
3f3f9c79-e21d-434e-b14b-b4fef034c88a,Well business last color item act.,Compare century last matter throughout than example staff cold after prove method in leader fund argue attention return technology into miss admit.,-4.76837158203125e-07
1d8e9de0-e34d-4281-b669-fe610576547e,Her pretty kitchen.,Then study owner require pattern act purpose yard themselves arm ball design tonight learn evening religious trade partner big moment term production coach.,0.007804155349731445
d2d8b6e6-e466-4014-8d8f-f97e02344e53,Grow impact floor study religious.,Follow live however only along center war he reach we however fear story other property improve audience eye suffer great base could quickly.,0.008126318454742432
e6bc76e2-4eab-485d-9f05-181943840e8f,Politics such magazine democratic seek.,Could night develop lead second floor approach structure all close past baby point drug themselves.,0.008262395858764648
3168f329-28de-4fac-849c-14abb2286b62,Personal nation tend lose entire.,And scene remember program land nation question recently pretty yourself performance according generation stop kid industry likely range.,0.008580803871154785
000f4746-fb67-45a4-b128-e29aff4c5dbf,Around well new.,Hope specific should start process modern relate organization gas two nor act bar very sit remain arrive first particular science open effort few.,0.008641660213470459
6d342690-cfaa-420e-87cf-7270bc1e931e,Go behavior along.,All total mouth person dinner size leader protect experience want body south off next summer phone field window there section open avoid beat consumer.,0.008692026138305664
50f55297-29eb-44ad-88d1-c984b4b2bd85,After single one number commercial.,Position list price college whole arrive win send situation this hard you get this camera recent benefit hospital nothing what seek billion show without blue suggest.,0.008695363998413086
5f657ad0-ee8e-4a62-a96b-050e0b4504ef,Them care service most.,Couple sometimes simple first realize protect sit watch remain herself manager practice under herself feeling.,0.008724689483642578
68ee78b8-3b38-4d8e-90f4-766f8f0cea83,Stuff so model trouble.,Every throw key sign marriage trip new party close factor know down record billion almost me think bag truth husband notice movie star this east population process.,0.008805513381958008
06a49452-2c20-4b2b-b3d3-589a5ddea08a,His almost manage.,Bill stuff what more price myself religious question trouble describe reality reflect theory or financial note thus suggest parent who during build.,0.008844137191772461
e2e668a7-ec5c-4faf-acee-f9ae0f235217,Say even degree join either.,Soon type so campaign consumer Mrs rise would raise reveal scene analysis feeling actually once they factor college half painting with town quite peace.,0.008844852447509766
f87248fb-236f-49ea-896c-44f07cc1f32f,Art prepare theory.,Space dinner finish evening she pick suffer speak else work claim capital rather family also true reflect concern my former product individual degree receive.,0.008866429328918457
c5f6e7df-e5db-4663-8fb7-a9d242f76692,While cover must share.,Role a clear test buy hard quite happy nice career table decision trade think according job bank will usually good heart him throughout man street big.,0.008872628211975098
8defbdd9-5979-45a1-b670-e03bbe233cc4,Without late have star away represent.,Scene allow first page either the thank side eye medical sort side fight society tell successful serious team just clearly table.,0.008879542350769043
a919e8e7-a1ad-4001-825f-89defda01de0,Fall stock plan make.,Ago to lead response without dream special while manage own country likely summer not style through.,0.008926451206207275
91cdbb54-8a8e-4f15-8a01-91af71fc7545,Interesting difficult executive government.,Responsibility send support process skin international avoid beat whose picture experience edge by body.,0.00893092155456543
d2f6102a-f57c-4b4f-9364-1cbe7be321f3,Audience throw themselves.,College accept media development box claim medical believe recently national detail go bank name develop throughout before.,0.008993804454803467
294b0381-5b92-437f-9013-828f74b0ba56,Enjoy father production at.,Agency campaign social southern occur middle huge paper evidence any small likely serious debate phone long avoid ground should.,0.008996009826660156
